"control probability (needed if or,hr,smd, es, or wmd)",control stdev (needed if ES or WMD),Stat Value,Plus minus,Stat,output,input,input values,Sensitivity Stat Value,Sensitivity Plus Minus,Specificity Stat Value,Specificity Plus Minus,RR Stat Value,RR plus minus,Type,value1,index1,value2,index2,value3,index3,value4,index4,value5,index5,code,reverse,citation,comment,comment2,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,study_n,study_design,study_population,verification_status
,,,,,step_variability_anomaly,LevelShiftAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,step_variability_anomaly,InterQuartileRangeAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,step_variability_anomaly,AutoregressionAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,step_variability_anomaly,"{""n_steps"":""7"",""step_size"":""1"",""c"":""3.0"",""n"":""2"",""window"":""5"",""side"":""positive"",""is_all"":""False""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,double_support_stepping_anomaly,LevelShiftAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,double_support_stepping_anomaly,InterQuartileRangeAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,double_support_stepping_anomaly,AutoregressionAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,double_support_stepping_anomaly,"{""n_steps"":""7"",""step_size"":""1"",""c"":""3.0"",""n"":""2"",""window"":""5"",""side"":""positive"",""is_all"":""False""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,step_asymmetry_anomaly,LevelShiftAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,step_asymmetry_anomaly,InterQuartileRangeAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,step_asymmetry_anomaly,AutoregressionAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,step_asymmetry_anomaly,"{""n_steps"":""7"",""step_size"":""1"",""c"":""3.0"",""n"":""2"",""window"":""5"",""side"":""positive"",""is_all"":""False""}",,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,stride_variability_anomaly,LevelShiftAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,stride_variability_anomaly,InterQuartileRangeAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,stride_variability_anomaly,AutoregressionAD,,,,,,,,anomaly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
